,PlanetIdentifier,TypeFlag,PlanetaryMassJpt,RadiusJpt,PeriodDays,SemiMajorAxisAU,Eccentricity,PeriastronDeg,LongitudeDeg,AscendingNodeDeg,InclinationDeg,SurfaceTempK,AgeGyr,DiscoveryMethod,DiscoveryYear,LastUpdated,RightAscension,Declination,DistFromSunParsec,HostStarMassSlrMass,HostStarRadiusSlrRad,HostStarMetallicity,HostStarTempK,HostStarAgeGyr,ListsPlanetIsOn,RA,DEC,DistFromEarthParsec
1544,Kepler-312 b,0,,0.11756,1.772419,,,,,,,,,transit,2014.0,14/02/26,19 53 34,+42 27 35,720.22,,1.4669999999999999,,6115.0,,Confirmed planets,298.39166666666665,636.8958333333334,720.2200032031718
1545,Kepler-312 c,0,,0.28706,19.747412,,,,,,,,,transit,2014.0,14/02/26,19 53 34,+42 27 35,720.22,,1.4669999999999999,,6115.0,,Confirmed planets,298.39166666666665,636.8958333333334,720.2200032031718
1546,KOI-183 b,0,0.595,1.192,2.6843285,0.03585,0.019,120.26,,,87.82799999999999,1605.0,,transit,2014.0,14/09/30,19 31 25,+46 23 28,725.0,0.85,0.95,-0.1,5560.0,11.0,Confirmed planets,292.8541666666667,695.8666666666667,724.999999985393
1547,Kepler-212 c,0,,0.2497,31.805173999999997,,,,,,,,,transit,2014.0,14/02/26,19 10 28,+43 08 29,726.97,1.166,1.455,,5852.0,,Confirmed planets,287.6166666666667,647.1208333333333,726.9700007760231
1548,Kepler-212 b,0,,0.09933,16.257582,,,,,,,,,transit,2014.0,14/02/26,19 10 28,+43 08 29,726.97,1.166,1.455,,5852.0,,Confirmed planets,287.6166666666667,647.1208333333333,726.9700007760231
1549,Kepler-184 b,0,,0.21506999999999998,10.687576,,,,,,,,,transit,2014.0,14/02/26,19 27 48,+43 04 28,727.97,0.97,0.873,,5788.0,,Confirmed planets,291.95,646.1166666666667,727.9699976506936
1550,Kepler-184 d,0,,0.22691,29.022358,,,,,,,,,transit,2014.0,14/02/26,19 27 48,+43 04 28,727.97,0.97,0.873,,5788.0,,Confirmed planets,291.95,646.1166666666667,727.9699976506936
1551,Kepler-184 c,0,,0.17953,20.303005,,,,,,,,,transit,2014.0,14/02/26,19 27 48,+43 04 28,727.97,0.97,0.873,,5788.0,,Confirmed planets,291.95,646.1166666666667,727.9699976506936
1552,Kepler-301 b,0,,0.12303,2.508553,,,,,,,,,transit,2014.0,14/02/26,18 55 55,+49 13 58,734.49,0.97,0.9,,5815.0,,Confirmed planets,283.9791666666667,738.4916666666667,734.4899984437379
1553,Kepler-301 c,0,,0.12303,5.419026000000001,,,,,,,,,transit,2014.0,14/02/26,18 55 55,+49 13 58,734.49,0.97,0.9,,5815.0,,Confirmed planets,283.9791666666667,738.4916666666667,734.4899984437379
